sensor_name,inference_layer,inference_latency,registered_at
ESP32_97C286,InferenceLayer.SENSOR,2544,2024-08-26 22:00:03.090597
ESP32_B25FE3,InferenceLayer.SENSOR,4620,2024-08-26 22:00:04.158567
ESP32_1F4D55,InferenceLayer.SENSOR,823,2024-08-26 22:00:05.106479
ESP32_ADD36D,InferenceLayer.SENSOR,3956,2024-08-26 22:00:06.149199
ESP32_F0ACBF,InferenceLayer.SENSOR,1138,2024-08-26 22:00:07.801161
ESP32_AB192B,InferenceLayer.SENSOR,3979,2024-08-26 22:00:08.136956
ESP32_AABBCC,InferenceLayer.SENSOR,4001,2024-08-26 22:00:20.911635
ESP32_09B38F,InferenceLayer.SENSOR,1976,2024-08-26 22:00:21.941727
ESP32_232714,InferenceLayer.SENSOR,4123,2024-08-26 22:00:22.911096
ESP32_B57936,InferenceLayer.SENSOR,3600,2024-08-26 22:00:23.923224
ESP32_8F7400,InferenceLayer.SENSOR,4036,2024-08-26 22:00:24.926677
ESP32_3330A5,InferenceLayer.SENSOR,1355,2024-08-26 22:00:25.959538
ESP32_ED5A4D,InferenceLayer.SENSOR,1160,2024-08-26 22:00:26.999304
ESP32_46B1A6,InferenceLayer.SENSOR,4035,2024-08-26 22:00:27.964218
ESP32_46978A,InferenceLayer.SENSOR,3122,2024-08-26 22:00:28.963833
ESP32_97C286,InferenceLayer.SENSOR,1600,2024-08-26 22:00:29.964092
ESP32_B25FE3,InferenceLayer.SENSOR,4353,2024-08-26 22:00:30.990862
ESP32_1F4D55,InferenceLayer.SENSOR,1039,2024-08-26 22:00:32.069554
ESP32_ADD36D,InferenceLayer.SENSOR,3894,2024-08-26 22:00:32.991143
ESP32_F0ACBF,InferenceLayer.SENSOR,1752,2024-08-26 22:00:34.025422
ESP32_AB192B,InferenceLayer.SENSOR,4340,2024-08-26 22:00:35.021746
ESP32_AABBCC,InferenceLayer.SENSOR,3951,2024-08-26 22:00:47.861170
ESP32_09B38F,InferenceLayer.SENSOR,1755,2024-08-26 22:00:48.808727
ESP32_232714,InferenceLayer.SENSOR,3823,2024-08-26 22:00:49.798631
ESP32_B57936,InferenceLayer.SENSOR,4003,2024-08-26 22:00:50.814431
ESP32_8F7400,InferenceLayer.SENSOR,3782,2024-08-26 22:00:51.843395
ESP32_3330A5,InferenceLayer.SENSOR,3175,2024-08-26 22:00:52.880953
ESP32_ED5A4D,InferenceLayer.SENSOR,1135,2024-08-26 22:00:53.904777
ESP32_46B1A6,InferenceLayer.SENSOR,3628,2024-08-26 22:00:54.848608
ESP32_46978A,InferenceLayer.SENSOR,3568,2024-08-26 22:00:55.851305
ESP32_97C286,InferenceLayer.SENSOR,4211,2024-08-26 22:00:56.861953
ESP32_B25FE3,InferenceLayer.SENSOR,3992,2024-08-26 22:00:57.925371
ESP32_1F4D55,InferenceLayer.SENSOR,988,2024-08-26 22:00:58.902240
ESP32_ADD36D,InferenceLayer.SENSOR,3561,2024-08-26 22:00:59.891226
ESP32_F0ACBF,InferenceLayer.SENSOR,3511,2024-08-26 22:01:00.904778
ESP32_AB192B,InferenceLayer.SENSOR,4208,2024-08-26 22:01:01.969778
ESP32_AABBCC,InferenceLayer.SENSOR,2673,2024-08-26 22:01:14.725344
ESP32_09B38F,InferenceLayer.SENSOR,2395,2024-08-26 22:01:15.688697
ESP32_232714,InferenceLayer.SENSOR,4576,2024-08-26 22:01:16.709191
ESP32_B57936,InferenceLayer.SENSOR,1476,2024-08-26 22:01:17.701182
ESP32_8F7400,InferenceLayer.SENSOR,4100,2024-08-26 22:01:18.730485
ESP32_3330A5,InferenceLayer.SENSOR,3986,2024-08-26 22:01:19.786592
ESP32_ED5A4D,InferenceLayer.SENSOR,874,2024-08-26 22:01:20.740436
ESP32_46B1A6,InferenceLayer.SENSOR,3189,2024-08-26 22:01:21.790681
ESP32_46978A,InferenceLayer.SENSOR,3466,2024-08-26 22:01:22.759963
ESP32_97C286,InferenceLayer.SENSOR,3977,2024-08-26 22:01:23.789098
ESP32_B25FE3,InferenceLayer.SENSOR,4087,2024-08-26 22:01:24.830912
ESP32_1F4D55,InferenceLayer.SENSOR,1028,2024-08-26 22:01:25.795727
ESP32_ADD36D,InferenceLayer.SENSOR,3965,2024-08-26 22:01:26.785835
ESP32_F0ACBF,InferenceLayer.SENSOR,3598,2024-08-26 22:01:27.800050
ESP32_AB192B,InferenceLayer.SENSOR,4153,2024-08-26 22:01:28.802486
ESP32_AABBCC,InferenceLayer.SENSOR,3928,2024-08-26 22:01:41.652134
ESP32_09B38F,InferenceLayer.SENSOR,895,2024-08-26 22:01:42.624947
ESP32_232714,InferenceLayer.SENSOR,4684,2024-08-26 22:01:43.847403
ESP32_B57936,InferenceLayer.SENSOR,4486,2024-08-26 22:01:44.632120
ESP32_8F7400,InferenceLayer.SENSOR,4000,2024-08-26 22:01:45.604115
ESP32_3330A5,InferenceLayer.SENSOR,4050,2024-08-26 22:01:46.676509
ESP32_ED5A4D,InferenceLayer.SENSOR,925,2024-08-26 22:01:47.619541
ESP32_46B1A6,InferenceLayer.SENSOR,2695,2024-08-26 22:01:48.769384
ESP32_46978A,InferenceLayer.SENSOR,4117,2024-08-26 22:01:49.654907
ESP32_97C286,InferenceLayer.SENSOR,4000,2024-08-26 22:01:50.706550
ESP32_B25FE3,InferenceLayer.SENSOR,3713,2024-08-26 22:01:51.745353
