sensor_name,inference_layer,inference_latency,registered_at
ESP32_A1BC36,InferenceLayer.SENSOR,4057,2024-08-26 22:59:04.057994
ESP32_C31F5E,InferenceLayer.SENSOR,4301,2024-08-26 22:59:05.020086
ESP32_E2F3EA,InferenceLayer.SENSOR,4189,2024-08-26 22:59:06.010779
ESP32_2E88CE,InferenceLayer.SENSOR,3693,2024-08-26 22:59:07.074312
ESP32_615B9D,InferenceLayer.SENSOR,4006,2024-08-26 22:59:08.067044
ESP32_AABBCC,InferenceLayer.SENSOR,3898,2024-08-26 22:59:10.519645
ESP32_09B38F,InferenceLayer.SENSOR,3972,2024-08-26 22:59:11.454956
ESP32_232714,InferenceLayer.SENSOR,889,2024-08-26 22:59:12.445690
ESP32_B57936,InferenceLayer.SENSOR,2977,2024-08-26 22:59:13.461776
ESP32_8F7400,InferenceLayer.SENSOR,4062,2024-08-26 22:59:14.460102
ESP32_3330A5,InferenceLayer.SENSOR,3909,2024-08-26 22:59:15.553704
ESP32_ED5A4D,InferenceLayer.SENSOR,3823,2024-08-26 22:59:16.513160
ESP32_46B1A6,InferenceLayer.SENSOR,1240,2024-08-26 22:59:17.546122
ESP32_46978A,InferenceLayer.SENSOR,4290,2024-08-26 22:59:18.503785
ESP32_97C286,InferenceLayer.SENSOR,3965,2024-08-26 22:59:19.506025
ESP32_B25FE3,InferenceLayer.SENSOR,3834,2024-08-26 22:59:20.609655
ESP32_1F4D55,InferenceLayer.SENSOR,4277,2024-08-26 22:59:21.546903
ESP32_ADD36D,InferenceLayer.SENSOR,1475,2024-08-26 22:59:22.548178
ESP32_F0ACBF,InferenceLayer.SENSOR,3088,2024-08-26 22:59:23.552472
ESP32_AB192B,InferenceLayer.SENSOR,4199,2024-08-26 22:59:24.559686
ESP32_A1BC36,InferenceLayer.SENSOR,3983,2024-08-26 22:59:25.677430
ESP32_C31F5E,InferenceLayer.SENSOR,3942,2024-08-26 22:59:26.583194
ESP32_E2F3EA,InferenceLayer.SENSOR,4145,2024-08-26 22:59:27.615508
ESP32_2E88CE,InferenceLayer.SENSOR,4038,2024-08-26 22:59:28.609512
ESP32_615B9D,InferenceLayer.SENSOR,3955,2024-08-26 22:59:29.616044
ESP32_AABBCC,InferenceLayer.SENSOR,3937,2024-08-26 22:59:32.047516
ESP32_09B38F,InferenceLayer.SENSOR,4522,2024-08-26 22:59:33.009885
ESP32_232714,InferenceLayer.SENSOR,4050,2024-08-26 22:59:34.026243
ESP32_B57936,InferenceLayer.SENSOR,4126,2024-08-26 22:59:35.096260
ESP32_8F7400,InferenceLayer.SENSOR,4066,2024-08-26 22:59:36.080391
ESP32_3330A5,InferenceLayer.SENSOR,3883,2024-08-26 22:59:37.163713
ESP32_ED5A4D,InferenceLayer.SENSOR,3886,2024-08-26 22:59:38.066288
ESP32_46B1A6,InferenceLayer.SENSOR,3038,2024-08-26 22:59:39.085467
ESP32_46978A,InferenceLayer.SENSOR,1177,2024-08-26 22:59:40.092362
ESP32_97C286,InferenceLayer.SENSOR,4020,2024-08-26 22:59:41.103358
ESP32_B25FE3,InferenceLayer.SENSOR,4031,2024-08-26 22:59:42.181438
ESP32_1F4D55,InferenceLayer.SENSOR,3269,2024-08-26 22:59:43.138372
ESP32_ADD36D,InferenceLayer.SENSOR,3199,2024-08-26 22:59:44.136707
ESP32_F0ACBF,InferenceLayer.SENSOR,909,2024-08-26 22:59:45.124982
ESP32_AB192B,InferenceLayer.SENSOR,4520,2024-08-26 22:59:46.143514
ESP32_A1BC36,InferenceLayer.SENSOR,4208,2024-08-26 22:59:47.221075
ESP32_C31F5E,InferenceLayer.SENSOR,4231,2024-08-26 22:59:48.170898
ESP32_E2F3EA,InferenceLayer.SENSOR,4059,2024-08-26 22:59:49.195490
ESP32_2E88CE,InferenceLayer.SENSOR,1031,2024-08-26 22:59:50.206822
ESP32_615B9D,InferenceLayer.SENSOR,2060,2024-08-26 22:59:51.241986
ESP32_AABBCC,InferenceLayer.SENSOR,3407,2024-08-26 22:59:53.578601
ESP32_09B38F,InferenceLayer.SENSOR,3228,2024-08-26 22:59:54.587327
ESP32_232714,InferenceLayer.SENSOR,4013,2024-08-26 22:59:55.604095
ESP32_B57936,InferenceLayer.SENSOR,1756,2024-08-26 22:59:56.617434
ESP32_8F7400,InferenceLayer.SENSOR,3598,2024-08-26 22:59:57.618244
ESP32_3330A5,InferenceLayer.SENSOR,4250,2024-08-26 22:59:58.683903
ESP32_ED5A4D,InferenceLayer.SENSOR,3149,2024-08-26 22:59:59.674876
