sensor_name,inference_layer,inference_latency,registered_at
ESP32_AABBCC,InferenceLayer.GATEWAY,193153,2024-08-29 20:52:22.492961
ESP32_232714,InferenceLayer.GATEWAY,118714,2024-08-29 20:52:33.191996
ESP32_46978A,InferenceLayer.GATEWAY,115304,2024-08-29 20:52:34.993064
ESP32_97C286,InferenceLayer.GATEWAY,115180,2024-08-29 20:52:45.457432
ESP32_AABBCC,InferenceLayer.GATEWAY,204893,2024-08-29 20:52:53.001098
ESP32_232714,InferenceLayer.GATEWAY,121580,2024-08-29 20:53:03.701900
ESP32_B57936,InferenceLayer.GATEWAY,114560,2024-08-29 20:53:03.991384
ESP32_ED5A4D,InferenceLayer.GATEWAY,114710,2024-08-29 20:53:04.895211
ESP32_97C286,InferenceLayer.GATEWAY,116861,2024-08-29 20:55:18.003386
ESP32_AABBCC,InferenceLayer.GATEWAY,151227,2024-08-29 20:55:25.501082
ESP32_09B38F,InferenceLayer.GATEWAY,109995,2024-08-29 20:55:25.760654
ESP32_46B1A6,InferenceLayer.GATEWAY,122324,2024-08-29 20:55:47.916282
ESP32_8F7400,InferenceLayer.GATEWAY,113587,2024-08-29 20:56:17.516662
ESP32_46978A,InferenceLayer.GATEWAY,110012,2024-08-29 20:56:18.711788
ESP32_09B38F,InferenceLayer.GATEWAY,137508,2024-08-29 20:56:26.801522
ESP32_232714,InferenceLayer.GATEWAY,105061,2024-08-29 20:56:27.075705
ESP32_ED5A4D,InferenceLayer.GATEWAY,118490,2024-08-29 20:56:28.294322
ESP32_B57936,InferenceLayer.GATEWAY,115279,2024-08-29 20:56:57.896893
ESP32_97C286,InferenceLayer.GATEWAY,103764,2024-08-29 20:56:59.680811
ESP32_B57936,InferenceLayer.GATEWAY,113826,2024-08-29 20:57:08.049602
ESP32_3330A5,InferenceLayer.GATEWAY,97200,2024-08-29 20:57:08.643983
ESP32_AABBCC,InferenceLayer.GATEWAY,205739,2024-08-29 20:59:29.605526
ESP32_232714,InferenceLayer.GATEWAY,121174,2024-08-29 20:59:30.126199
ESP32_8F7400,InferenceLayer.GATEWAY,115954,2024-08-29 20:59:30.722900
ESP32_ED5A4D,InferenceLayer.GATEWAY,95076,2024-08-29 20:59:31.298499
ESP32_46978A,InferenceLayer.GATEWAY,113558,2024-08-29 20:59:31.916749
ESP32_AABBCC,InferenceLayer.GATEWAY,174023,2024-08-29 20:59:39.743477
ESP32_09B38F,InferenceLayer.GATEWAY,108062,2024-08-29 20:59:39.980489
ESP32_ED5A4D,InferenceLayer.GATEWAY,114102,2024-08-29 20:59:41.486300
ESP32_AABBCC,InferenceLayer.GATEWAY,241523,2024-08-29 20:59:49.978799
ESP32_09B38F,InferenceLayer.GATEWAY,91654,2024-08-29 20:59:50.133237
ESP32_8F7400,InferenceLayer.GATEWAY,114154,2024-08-29 20:59:51.058442
ESP32_3330A5,InferenceLayer.GATEWAY,90133,2024-08-29 20:59:51.332370
ESP32_ED5A4D,InferenceLayer.GATEWAY,115515,2024-08-29 20:59:51.664000
ESP32_09B38F,InferenceLayer.GATEWAY,96101,2024-08-29 20:52:22.705070
ESP32_232714,InferenceLayer.GATEWAY,121638,2024-08-29 20:52:23.024215
ESP32_8F7400,InferenceLayer.GATEWAY,112631,2024-08-29 20:52:23.615660
ESP32_AABBCC,InferenceLayer.GATEWAY,165728,2024-08-29 20:52:32.634605
ESP32_09B38F,InferenceLayer.GATEWAY,103654,2024-08-29 20:52:32.873444
ESP32_ED5A4D,InferenceLayer.GATEWAY,116481,2024-08-29 20:52:34.389500
ESP32_46B1A6,InferenceLayer.GATEWAY,112904,2024-08-29 20:52:34.688072
ESP32_8F7400,InferenceLayer.GATEWAY,115632,2024-08-29 20:52:43.954627
ESP32_ED5A4D,InferenceLayer.GATEWAY,114922,2024-08-29 20:52:44.556755
ESP32_46978A,InferenceLayer.GATEWAY,117019,2024-08-29 20:52:45.161545
ESP32_09B38F,InferenceLayer.GATEWAY,100306,2024-08-29 20:52:53.210374
ESP32_232714,InferenceLayer.GATEWAY,126559,2024-08-29 20:52:53.534371
ESP32_B57936,InferenceLayer.GATEWAY,110047,2024-08-29 20:52:53.807046
ESP32_AABBCC,InferenceLayer.GATEWAY,177936,2024-08-29 20:53:03.154923
ESP32_09B38F,InferenceLayer.GATEWAY,101265,2024-08-29 20:53:03.377049
ESP32_AABBCC,InferenceLayer.GATEWAY,247684,2024-08-29 20:53:13.391196
ESP32_09B38F,InferenceLayer.GATEWAY,94308,2024-08-29 20:53:13.537147
ESP32_8F7400,InferenceLayer.GATEWAY,116079,2024-08-29 20:53:14.464334
ESP32_ED5A4D,InferenceLayer.GATEWAY,116868,2024-08-29 20:53:15.067848
ESP32_46978A,InferenceLayer.GATEWAY,109444,2024-08-29 20:53:15.658592
ESP32_232714,InferenceLayer.GATEWAY,135871,2024-08-29 20:55:26.083550
ESP32_46B1A6,InferenceLayer.GATEWAY,116047,2024-08-29 20:55:27.570171
ESP32_97C286,InferenceLayer.GATEWAY,115131,2024-08-29 20:55:28.161493
ESP32_09B38F,InferenceLayer.GATEWAY,98478,2024-08-29 20:55:35.911387
ESP32_B57936,InferenceLayer.GATEWAY,117570,2024-08-29 20:55:36.541929
ESP32_8F7400,InferenceLayer.GATEWAY,115706,2024-08-29 20:55:36.827965
ESP32_3330A5,InferenceLayer.GATEWAY,118227,2024-08-29 20:55:37.126320
ESP32_ED5A4D,InferenceLayer.GATEWAY,121709,2024-08-29 20:55:37.443598
ESP32_97C286,InferenceLayer.GATEWAY,146778,2024-08-29 20:55:38.364919
ESP32_AABBCC,InferenceLayer.GATEWAY,288816,2024-08-29 20:55:45.967065
ESP32_232714,InferenceLayer.GATEWAY,125455,2024-08-29 20:55:46.406611
ESP32_8F7400,InferenceLayer.GATEWAY,109746,2024-08-29 20:55:47.002581
ESP32_3330A5,InferenceLayer.GATEWAY,118472,2024-08-29 20:55:47.310418
ESP32_46978A,InferenceLayer.GATEWAY,121038,2024-08-29 20:55:48.207649
ESP32_AABBCC,InferenceLayer.GATEWAY,155063,2024-08-29 20:55:56.006996
ESP32_232714,InferenceLayer.GATEWAY,103787,2024-08-29 20:55:56.561076
ESP32_8F7400,InferenceLayer.GATEWAY,123918,2024-08-29 20:55:57.190132
ESP32_ED5A4D,InferenceLayer.GATEWAY,151649,2024-08-29 20:55:58.004835
ESP32_09B38F,InferenceLayer.GATEWAY,95870,2024-08-29 20:56:06.413378
ESP32_46978A,InferenceLayer.GATEWAY,123414,2024-08-29 20:56:28.933862
ESP32_232714,InferenceLayer.GATEWAY,129005,2024-08-29 20:56:37.268599
ESP32_B57936,InferenceLayer.GATEWAY,111700,2024-08-29 20:56:37.549630
ESP32_3330A5,InferenceLayer.GATEWAY,111441,2024-08-29 20:56:38.146908
ESP32_46B1A6,InferenceLayer.GATEWAY,122135,2024-08-29 20:56:48.929764
ESP32_09B38F,InferenceLayer.GATEWAY,100006,2024-08-29 20:56:57.271344
ESP32_232714,InferenceLayer.GATEWAY,121373,2024-08-29 20:56:57.599655
ESP32_46B1A6,InferenceLayer.GATEWAY,117002,2024-08-29 20:57:09.266548
ESP32_46978A,InferenceLayer.GATEWAY,116997,2024-08-29 20:57:09.555514
ESP32_09B38F,InferenceLayer.GATEWAY,96543,2024-08-29 20:59:29.802938
ESP32_3330A5,InferenceLayer.GATEWAY,103975,2024-08-29 20:59:31.031317
ESP32_46B1A6,InferenceLayer.GATEWAY,118887,2024-08-29 20:59:31.632612
ESP32_232714,InferenceLayer.GATEWAY,117678,2024-08-29 20:59:40.293314
ESP32_3330A5,InferenceLayer.GATEWAY,117630,2024-08-29 20:59:41.201990
ESP32_97C286,InferenceLayer.GATEWAY,118998,2024-08-29 20:59:42.399024
ESP32_B57936,InferenceLayer.GATEWAY,111716,2024-08-29 20:59:50.770689
ESP32_97C286,InferenceLayer.GATEWAY,113428,2024-08-29 20:59:52.563695
ESP32_B57936,InferenceLayer.GATEWAY,112966,2024-08-29 20:52:23.324908
ESP32_97C286,InferenceLayer.GATEWAY,112883,2024-08-29 20:52:25.130421
ESP32_B57936,InferenceLayer.GATEWAY,116619,2024-08-29 20:52:33.501272
ESP32_8F7400,InferenceLayer.GATEWAY,117198,2024-08-29 20:52:33.800650
ESP32_232714,InferenceLayer.GATEWAY,120430,2024-08-29 20:52:43.370972
ESP32_B57936,InferenceLayer.GATEWAY,113944,2024-08-29 20:52:43.658008
ESP32_46B1A6,InferenceLayer.GATEWAY,117808,2024-08-29 20:52:44.874369
ESP32_8F7400,InferenceLayer.GATEWAY,117688,2024-08-29 20:52:54.144295
ESP32_46B1A6,InferenceLayer.GATEWAY,115812,2024-08-29 20:53:05.210193
ESP32_46978A,InferenceLayer.GATEWAY,115375,2024-08-29 20:53:05.499310
ESP32_97C286,InferenceLayer.GATEWAY,115616,2024-08-29 20:53:05.810002
ESP32_232714,InferenceLayer.GATEWAY,123825,2024-08-29 20:53:13.882683
