sensor_name,inference_layer,inference_latency,registered_at
ESP32_AABBCC,InferenceLayer.GATEWAY,98210,2024-08-29 21:28:46.942823
ESP32_09B38F,InferenceLayer.GATEWAY,143226,2024-08-29 21:28:47.385185
ESP32_232714,InferenceLayer.GATEWAY,141792,2024-08-29 21:28:47.782119
ESP32_B57936,InferenceLayer.GATEWAY,141762,2024-08-29 21:28:48.177493
ESP32_8F7400,InferenceLayer.GATEWAY,139621,2024-08-29 21:28:48.592676
ESP32_3330A5,InferenceLayer.GATEWAY,147028,2024-08-29 21:28:48.995922
ESP32_ED5A4D,InferenceLayer.GATEWAY,141748,2024-08-29 21:28:49.396828
ESP32_46B1A6,InferenceLayer.GATEWAY,110005,2024-08-29 21:28:49.753050
ESP32_46978A,InferenceLayer.GATEWAY,144676,2024-08-29 21:28:50.187726
ESP32_97C286,InferenceLayer.GATEWAY,139097,2024-08-29 21:28:50.587198
ESP32_B25FE3,InferenceLayer.GATEWAY,142579,2024-08-29 21:28:50.996590
ESP32_1F4D55,InferenceLayer.GATEWAY,143724,2024-08-29 21:28:51.411170
ESP32_ADD36D,InferenceLayer.GATEWAY,135718,2024-08-29 21:28:51.792417
ESP32_F0ACBF,InferenceLayer.GATEWAY,104913,2024-08-29 21:28:52.150456
ESP32_AB192B,InferenceLayer.GATEWAY,139752,2024-08-29 21:28:52.602114
ESP32_A1BC36,InferenceLayer.GATEWAY,145401,2024-08-29 21:28:52.998949
ESP32_C31F5E,InferenceLayer.GATEWAY,139732,2024-08-29 21:28:53.406274
ESP32_E2F3EA,InferenceLayer.GATEWAY,149074,2024-08-29 21:28:53.799165
ESP32_2E88CE,InferenceLayer.GATEWAY,139954,2024-08-29 21:28:54.194105
ESP32_615B9D,InferenceLayer.GATEWAY,141243,2024-08-29 21:28:54.597895
ESP32_AABBCC,InferenceLayer.GATEWAY,224908,2024-08-29 21:29:13.110822
ESP32_09B38F,InferenceLayer.GATEWAY,112907,2024-08-29 21:29:13.396199
ESP32_232714,InferenceLayer.GATEWAY,148173,2024-08-29 21:29:13.812529
ESP32_B57936,InferenceLayer.GATEWAY,143881,2024-08-29 21:29:14.223193
ESP32_8F7400,InferenceLayer.GATEWAY,149028,2024-08-29 21:29:14.635454
ESP32_3330A5,InferenceLayer.GATEWAY,140405,2024-08-29 21:29:15.013020
ESP32_ED5A4D,InferenceLayer.GATEWAY,146553,2024-08-29 21:29:15.425259
ESP32_46B1A6,InferenceLayer.GATEWAY,142380,2024-08-29 21:29:15.826718
ESP32_46978A,InferenceLayer.GATEWAY,139831,2024-08-29 21:29:16.229747
ESP32_97C286,InferenceLayer.GATEWAY,135845,2024-08-29 21:29:16.629620
ESP32_B25FE3,InferenceLayer.GATEWAY,141696,2024-08-29 21:29:17.018807
ESP32_1F4D55,InferenceLayer.GATEWAY,144515,2024-08-29 21:29:17.420470
ESP32_ADD36D,InferenceLayer.GATEWAY,153282,2024-08-29 21:29:17.833134
ESP32_F0ACBF,InferenceLayer.GATEWAY,147335,2024-08-29 21:29:18.225968
ESP32_AB192B,InferenceLayer.GATEWAY,141778,2024-08-29 21:29:18.637159
ESP32_A1BC36,InferenceLayer.GATEWAY,141258,2024-08-29 21:29:19.021221
ESP32_C31F5E,InferenceLayer.GATEWAY,143107,2024-08-29 21:29:19.441650
