Current(mA),Timestamp(s)
12.784509,0.0
12.767633,0.00010000000000218279
12.762838,0.0002000000000007276
12.766024,0.0003000000000029104
12.7609486,0.0004000000000014552
12.758345166666667,0.0005
12.754294285714284,0.0006000000000021828
12.75806075,0.0007000000000007276
12.75803,0.0008000000000029104
12.7565847,0.0009000000000014552
12.756950100000001,0.001
12.7582121,0.0011000000000021828
12.761747199999999,0.0012000000000007276
12.7596266,0.0013000000000029104
12.7638651,0.0014000000000014552
12.7644238,0.0015
12.766816600000002,0.0016000000000021828
12.772220899999999,0.0017000000000007276
12.7754894,0.0018000000000029104
12.776623599999999,0.0019000000000014552
12.7755491,0.002
12.7751158,0.0021000000000021826
12.7712025,0.0022000000000007274
12.7711067,0.0023000000000029104
12.7703351,0.0024000000000014552
12.7725563,0.0025
12.771291899999998,0.0026000000000021826
12.7668034,0.0027000000000007274
12.764471,0.0028000000000029104
12.7680332,0.0029000000000014552
12.7680254,0.003
12.768792399999999,0.0031000000000021826
12.7692227,0.0032000000000007274
12.772017000000002,0.0033000000000029104
12.7707142,0.0034000000000014552
12.7723103,0.0035
12.775970300000001,0.0036000000000021826
12.7721108,0.0037000000000007274
12.7722838,0.0038000000000029104
12.773092000000002,0.0039000000000014553
12.7716587,0.004
12.7735658,0.004100000000002183
12.7785089,0.0042000000000007275
12.775201599999999,0.00430000000000291
12.7785975,0.004400000000001455
12.7769103,0.0045
12.778481000000001,0.004600000000002183
12.7837335,0.004700000000000728
12.7866015,0.0048000000000029104
12.7830982,0.004900000000001455
12.781246499999998,0.005
12.776675800000001,0.005100000000002183
12.7718478,0.0052000000000007275
12.771213499999998,0.00530000000000291
12.7679228,0.005400000000001455
12.7687576,0.0055
12.766968,0.005600000000002183
12.768264499999999,0.005700000000000728
12.768633099999999,0.0058000000000029105
12.7678523,0.005900000000001455
12.771935899999999,0.006
12.774686399999998,0.006100000000002183
12.7790308,0.0062000000000007275
12.780468799999998,0.00630000000000291
12.783572000000001,0.006400000000001455
12.7822599,0.0065
12.7780925,0.006600000000002183
12.7744692,0.006700000000000728
12.7702146,0.0068000000000029105
12.771678099999999,0.006900000000001455
12.7720397,0.007
12.7760958,0.007100000000002183
12.7746517,0.0072000000000007275
12.7738571,0.00730000000000291
12.7709891,0.007400000000001455
12.769819799999999,0.0075
12.7705159,0.007600000000002183
12.7694479,0.007700000000000728
12.7702664,0.0078000000000029105
12.7702523,0.007900000000001454
12.7684912,0.008
12.763709299999999,0.008100000000002184
12.7623809,0.008200000000000728
12.7664671,0.008300000000002911
12.7671993,0.008400000000001455
12.7695212,0.0085
12.772525,0.008600000000002182
12.7726723,0.008700000000000728
12.769765699999999,0.00880000000000291
12.7668418,0.008900000000001455
12.764752900000001,0.009
12.7662717,0.009100000000002183
12.7646558,0.009200000000000728
12.767336199999999,0.00930000000000291
12.764121999999999,0.009400000000001456
12.762641200000001,0.0095
12.763533599999999,0.009600000000002183
12.763674300000002,0.009700000000000727
12.7686958,0.00980000000000291
12.7696951,0.009900000000001455
12.7735991,0.01
12.775240400000001,0.010100000000002184
12.7744753,0.010200000000000728
12.7671542,0.010300000000002911
12.7699633,0.010400000000001455
12.769901800000001,0.0105
12.7679738,0.010600000000002182
12.7673063,0.010700000000000728
12.7647747,0.01080000000000291
12.765629100000002,0.010900000000001455
12.7627162,0.011
12.758556700000002,0.011100000000002183
12.7609341,0.011200000000000727
12.7681975,0.01130000000000291
12.7722552,0.011400000000001456
12.770709,0.0115
12.771356800000001,0.011600000000002183
12.7717722,0.011700000000000727
12.7721132,0.01180000000000291
12.769916599999998,0.011900000000001455
12.7703361,0.012
12.774533,0.012100000000002182
12.7773897,0.012200000000000728
12.775252900000002,0.012300000000002911
12.770511800000001,0.012400000000001455
12.7743187,0.0125
12.774280000000001,0.012600000000002182
12.7706614,0.012700000000000728
12.7717301,0.01280000000000291
12.7705664,0.012900000000001455
12.7831784,0.013
12.7847876,0.013100000000002183
12.782287,0.013200000000000727
12.7782453,0.01330000000000291
12.7779944,0.013400000000001456
12.7765814,0.0135
12.7756654,0.013600000000002183
12.7775593,0.013700000000000727
12.7799926,0.01380000000000291
12.7849657,0.013900000000001455
12.7699636,0.014
12.7672916,0.014100000000002182
12.7647823,0.014200000000000728
12.7648762,0.014300000000002911
12.7636057,0.014400000000001455
12.762307100000001,0.0145
12.7612628,0.014600000000002182
12.761331,0.014700000000000728
12.753630600000001,0.01480000000000291
12.7513657,0.014900000000001455
12.7529666,0.015
12.7470025,0.015100000000002183
12.7465607,0.015200000000000727
12.747587300000001,0.01530000000000291
12.7500252,0.015400000000001456
12.755943499999999,0.0155
12.7597586,0.015600000000002183
12.7595942,0.015700000000000727
12.7622441,0.01580000000000291
12.7644955,0.015900000000001455
12.7616482,0.016
12.7606985,0.016100000000002182
12.762086,0.016200000000000728
12.764506399999998,0.01630000000000291
12.7650435,0.016400000000001455
12.7582222,0.0165
12.757439100000001,0.016600000000002182
12.7607351,0.016700000000000728
12.7610683,0.01680000000000291
12.7577376,0.016900000000001456
12.7606475,0.017
12.765099000000001,0.017100000000002183
12.7644627,0.01720000000000073
12.763406400000001,0.01730000000000291
12.761762999999998,0.017400000000001456
12.7655912,0.0175
12.765867799999999,0.017600000000002183
12.7661847,0.01770000000000073
12.771007,0.01780000000000291
12.774436300000001,0.017900000000001456
12.776421500000001,0.018
12.7711798,0.018100000000002184
12.7713487,0.018200000000000726
12.768087499999998,0.01830000000000291
12.768285299999999,0.018400000000001457
12.7691418,0.0185
12.7697216,0.018600000000002184
12.7669033,0.018700000000000726
12.757401900000001,0.01880000000000291
12.755786599999999,0.018900000000001454
12.7556841,0.019
12.757467,0.01910000000000218
12.7624162,0.019200000000000727
12.768300799999999,0.019300000000002912
