elapsed_time,direction,sender,receiver,length
0.0,incoming,172.18.0.1,172.18.0.2,66
0.256306648254391,incoming,172.18.0.1,172.18.0.2,2231
0.25910496711730957,incoming,172.18.0.8,172.18.0.2,66
0.5116231441497838,outgoing,172.18.0.3,172.17.0.1,74
0.5131556987762451,outgoing,172.18.0.3,172.17.0.1,66
0.5139460563659668,outgoing,172.18.0.3,172.17.0.1,290
0.5168991088867188,outgoing,172.18.0.3,172.17.0.1,7306
0.5199348926544225,outgoing,172.18.0.3,172.17.0.1,7306
0.5244767665863037,outgoing,172.18.0.3,172.17.0.1,14546
0.5289433002471924,outgoing,172.18.0.3,172.17.0.1,14546
0.530948400497433,outgoing,172.18.0.3,172.17.0.1,2962
0.6535096168518066,outgoing,172.18.0.3,172.17.0.1,13889
0.6564898490905797,outgoing,172.18.0.3,172.17.0.1,66
0.6572537422180176,outgoing,172.18.0.3,172.17.0.1,66
0.6587245464324987,outgoing,172.18.0.3,172.17.0.1,66
0.7743494510650635,incoming,172.18.0.1,172.18.0.2,2231
0.7773418426513672,incoming,172.18.0.8,172.18.0.2,66
1.02469801902771,outgoing,172.18.0.3,172.17.0.1,74
1.0275242328643834,outgoing,172.18.0.3,172.17.0.1,66
1.0289599895477295,outgoing,172.18.0.3,172.17.0.1,290
1.0345499515533412,outgoing,172.18.0.3,172.17.0.1,7306
1.0402026176452637,outgoing,172.18.0.3,172.17.0.1,7306
1.0448174476623535,outgoing,172.18.0.3,172.17.0.1,14546
1.049182653427124,outgoing,172.18.0.3,172.17.0.1,14546
1.0512032508850098,outgoing,172.18.0.3,172.17.0.1,2962
1.1754062175750732,outgoing,172.18.0.3,172.17.0.1,14158
1.1783013343811035,outgoing,172.18.0.3,172.17.0.1,66
1.1799135208129918,outgoing,172.18.0.3,172.17.0.1,66
1.1805980205535889,outgoing,172.18.0.3,172.17.0.1,66
1.18202805519104,outgoing,172.18.0.3,172.17.0.1,66
1.2867932319641113,incoming,172.18.0.1,172.18.0.2,2339
1.2895019054412842,incoming,172.18.0.8,172.18.0.2,66
1.53963303565979,outgoing,172.18.0.3,172.17.0.1,74
1.5430715084075928,outgoing,172.18.0.3,172.17.0.1,66
1.5438201427459717,outgoing,172.18.0.3,172.17.0.1,290
1.546716690063473,outgoing,172.18.0.3,172.17.0.1,7306
1.549544334411621,outgoing,172.18.0.3,172.17.0.1,7306
1.5531487464904785,outgoing,172.18.0.3,172.17.0.1,10202
1.5555534362792969,outgoing,172.18.0.3,172.17.0.1,4410
1.5605533123016357,outgoing,172.18.0.3,172.17.0.1,17442
1.6830337047576904,outgoing,172.18.0.3,172.17.0.1,13934
