Timestamp(ms),Current(uA),D0-D7
9699.5,12743.224,00000000
9699.6,12768.082,00000000
9699.7,12747.647,00000000
9699.8,12766.454,00000000
9699.9,12726.138,00000000
9700,12706.598,00000000
9700.1,12746.931,00000000
9700.2,12751.124,00000000
9700.3,12733.132,00000000
9700.4,12741.092,00000000
9700.5,12721.735,00000000
9700.6,12759.679,00000000
9700.7,12797.878,00000000
9700.8,12762.175,00000000
9700.9,12802.666,00000000
9701,12769.851,00000000
9701.1,12714.593,00000000
9701.2,12780.744,00000000
9701.3,12739.664,00000000
9701.4,12781.001,00000000
9701.5,12796.106,00000000
9701.6,12806.423,00000000
9701.7,12748.578,00000000
9701.8,12747.638,00000000
9701.9,12743.374,00000000
9702,12736.191,00000000
9702.1,12743.510,00000000
9702.2,12770.336,00000000
9702.3,12734.591,00000000
9702.4,12731.178,00000000
9702.5,12729.641,00000000
9702.6,12745.016,00000000
9702.7,12716.245,00000000
9702.8,12759.424,00000000
9702.9,12772.032,00000000
9703,12755.620,00000000
9703.1,12713.506,00000000
9703.2,12736.987,00000000
9703.3,12763.092,00000000
9703.4,12788.540,00000000
9703.5,12814.376,00000000
9703.6,12795.548,00000000
9703.7,12778.261,00000000
9703.8,12766.418,00000000
9703.9,12802.555,00000000
9704,12784.989,00000000
9704.1,12779.090,00000000
9704.2,12731.620,00000000
9704.3,12753.163,00000000
9704.4,12754.927,00000000
9704.5,12744.963,00000000
9704.6,12789.699,00000000
9704.7,12802.862,00000000
9704.8,12725.580,00000000
9704.9,12794.566,00000000
9705,12772.667,00000000
9705.1,12746.732,00000000
9705.2,12700.506,00000000
9705.3,12743.060,00000000
9705.4,12751.632,00000000
9705.5,12746.168,00000000
9705.6,12745.177,00000000
9705.7,12736.891,00000000
9705.8,12782.357,00000000
9705.9,12775.092,00000000
9706,12768.232,00000000
9706.1,12786.687,00000000
9706.2,12736.435,00000000
9706.3,12738.444,00000000
9706.4,12789.340,00000000
9706.5,12752.161,00000000
9706.6,12716.396,00000000
9706.7,12759.796,00000000
9706.8,12776.390,00000000
9706.9,12743.028,00000000
9707,12736.510,00000000
9707.1,12763.988,00000000
9707.2,12724.706,00000000
9707.3,12723.762,00000000
9707.4,12728.753,00000000
9707.5,12738.669,00000000
9707.6,12761.030,00000000
9707.7,12727.351,00000000
9707.8,12691.300,00000000
9707.9,12762.007,00000000
9708,12748.104,00000000
9708.1,12740.497,00000000
9708.2,12722.468,00000000
9708.3,12733.688,00000000
9708.4,12741.905,00000000
9708.5,12710.219,00000000
9708.6,12727.886,00000000
9708.7,12743.905,00000000
9708.8,12732.259,00000000
9708.9,12705.445,00000000
9709,12732.218,00000000
9709.1,12710.812,00000000
9709.2,12745.543,00000000
9709.3,12729.159,00000000
9709.4,12751.654,00000000
9709.5,12704.128,00000000
9709.6,12731.447,00000000
9709.7,12735.860,00000000
9709.8,12724.915,00000000
9709.9,12716.336,00000000
9710,12727.357,00000000
9710.1,12732.874,00000000
9710.2,12709.596,00000000
9710.3,12708.725,00000000
9710.4,12723.320,00000000
9710.5,12729.236,00000000
9710.6,12714.223,00000000
9710.7,12706.944,00000000
9710.8,12722.144,00000000
9710.9,12735.326,00000000
9711,12747.327,00000000
9711.1,12742.832,00000000
9711.2,12737.288,00000000
9711.3,12748.420,00000000
9711.4,12718.206,00000000
9711.5,12772.625,00000000
9711.6,12736.292,00000000
9711.7,12690.293,00000000
9711.8,12736.951,00000000
9711.9,12744.921,00000000
9712,12734.449,00000000
9712.1,12766.660,00000000
9712.2,12732.050,00000000
9712.3,12734.125,00000000
9712.4,12749.250,00000000
9712.5,12779.636,00000000
9712.6,12783.437,00000000
9712.7,12767.282,00000000
