elapsed_time,direction,sender,receiver,length
0.0,incoming,172.18.0.1,172.18.0.2,66
0.514437198638916,incoming,172.18.0.1,172.18.0.2,2231
0.5172135829925502,incoming,172.18.0.8,172.18.0.2,66
0.5179517269134521,incoming,172.18.0.8,172.18.0.2,68
0.5194063186645508,incoming,172.18.0.8,172.18.0.2,66
0.5201337337493932,outgoing,172.18.0.3,172.17.0.1,74
0.5216233730316162,outgoing,172.18.0.3,172.17.0.1,66
0.5223758220672607,outgoing,172.18.0.3,172.17.0.1,290
0.5252988338470423,outgoing,172.18.0.3,172.17.0.1,7306
0.5281884670257568,outgoing,172.18.0.3,172.17.0.1,7306
0.5326564311981201,outgoing,172.18.0.3,172.17.0.1,14546
0.5370535850524902,outgoing,172.18.0.3,172.17.0.1,14546
0.5390787124633789,outgoing,172.18.0.3,172.17.0.1,2962
0.6588191986083984,outgoing,172.18.0.3,172.17.0.1,13889
0.7651679515838623,outgoing,172.18.0.3,172.17.0.1,66
0.7661271095275914,outgoing,172.18.0.3,172.17.0.1,66
0.7691786289215123,outgoing,172.18.0.3,172.17.0.1,66
1.0266904830932617,incoming,172.18.0.1,172.18.0.2,2143
1.0295677185058594,incoming,172.18.0.8,172.18.0.2,66
1.030320644378662,outgoing,172.18.0.3,172.17.0.1,74
1.0318326950073207,outgoing,172.18.0.3,172.17.0.1,66
1.0325870513916016,outgoing,172.18.0.3,172.17.0.1,290
1.0355024337768555,outgoing,172.18.0.3,172.17.0.1,7306
1.038407802581787,outgoing,172.18.0.3,172.17.0.1,7306
1.0429055690765345,outgoing,172.18.0.3,172.17.0.1,14546
1.0474505424499512,outgoing,172.18.0.3,172.17.0.1,14546
1.0495152473449707,outgoing,172.18.0.3,172.17.0.1,2962
1.1783301830291748,outgoing,172.18.0.3,172.17.0.1,14498
1.284774780273441,outgoing,172.18.0.3,172.17.0.1,66
1.28867769241333,outgoing,172.18.0.3,172.17.0.1,66
1.2911040782928431,outgoing,172.18.0.3,172.17.0.1,66
1.538977861404419,incoming,172.18.0.1,172.18.0.2,2155
1.5425615310668945,incoming,172.18.0.8,172.18.0.2,66
1.5432798862457275,outgoing,172.18.0.3,172.17.0.1,74
1.5447232723236084,outgoing,172.18.0.3,172.17.0.1,66
1.5454413890838623,outgoing,172.18.0.3,172.17.0.1,290
1.5483219623565674,outgoing,172.18.0.3,172.17.0.1,7306
1.5510928630828822,outgoing,172.18.0.3,172.17.0.1,7306
1.5554141998291016,outgoing,172.18.0.3,172.17.0.1,14546
1.5597608089447021,outgoing,172.18.0.3,172.17.0.1,14546
1.5618009567260707,outgoing,172.18.0.3,172.17.0.1,2962
1.6803746223449707,outgoing,172.18.0.3,172.17.0.1,14570
1.7891991138458287,outgoing,172.18.0.3,172.17.0.1,66
1.7899806499481201,outgoing,172.18.0.3,172.17.0.1,66
1.7915356159210205,outgoing,172.18.0.3,172.17.0.1,66
2.047400712966919,incoming,172.18.0.1,172.18.0.2,2323
2.0525310039520264,incoming,172.18.0.8,172.18.0.2,66
2.3039870262145996,outgoing,172.18.0.3,172.17.0.1,74
2.3087220191955566,outgoing,172.18.0.3,172.17.0.1,66
2.3094289302825928,outgoing,172.18.0.3,172.17.0.1,290
2.312368631362915,outgoing,172.18.0.3,172.17.0.1,7306
2.3151772022247314,outgoing,172.18.0.3,172.17.0.1,7306
2.3195176124572754,outgoing,172.18.0.3,172.17.0.1,14546
2.3237264156341553,outgoing,172.18.0.3,172.17.0.1,14546
2.3258068561553955,outgoing,172.18.0.3,172.17.0.1,2962
2.446835994720459,outgoing,172.18.0.3,172.17.0.1,13985
2.4501445293426514,outgoing,172.18.0.3,172.17.0.1,66
2.4509263038635254,outgoing,172.18.0.3,172.17.0.1,66
2.452375888824463,outgoing,172.18.0.3,172.17.0.1,66
2.8189847469329834,incoming,172.18.0.1,172.18.0.2,2331
2.821794271469116,incoming,172.18.0.8,172.18.0.2,66
2.8225040435791016,outgoing,172.18.0.3,172.17.0.1,74
2.8239290714263916,outgoing,172.18.0.3,172.17.0.1,66
2.824644088745117,outgoing,172.18.0.3,172.17.0.1,290
2.8274827003479004,outgoing,172.18.0.3,172.17.0.1,7306
2.8303279876708984,outgoing,172.18.0.3,172.17.0.1,7306
2.833810567855835,outgoing,172.18.0.3,172.17.0.1,10202
2.8361768722534144,outgoing,172.18.0.3,172.17.0.1,4410
2.8406124114990234,outgoing,172.18.0.3,172.17.0.1,14546
2.842663288116455,outgoing,172.18.0.3,172.17.0.1,2962
2.9642846584320033,outgoing,172.18.0.3,172.17.0.1,13956
3.069267988204956,outgoing,172.18.0.3,172.17.0.1,66
3.0701022148132324,outgoing,172.18.0.3,172.17.0.1,66
3.0716421604156494,outgoing,172.18.0.3,172.17.0.1,66
3.3318066596984828,incoming,172.18.0.1,172.18.0.2,2111
3.3345696926116943,incoming,172.18.0.8,172.18.0.2,66
3.3352911472320557,outgoing,172.18.0.3,172.17.0.1,74
3.336754322052002,outgoing,172.18.0.3,172.17.0.1,66
3.337498188018799,outgoing,172.18.0.3,172.17.0.1,290
3.3402369022369385,outgoing,172.18.0.3,172.17.0.1,7306
3.3430182933807373,outgoing,172.18.0.3,172.17.0.1,7306
3.3472673892974854,outgoing,172.18.0.3,172.17.0.1,14546
3.3516275882720947,outgoing,172.18.0.3,172.17.0.1,14546
3.353688240051273,outgoing,172.18.0.3,172.17.0.1,2962
3.4788832664489746,outgoing,172.18.0.3,172.17.0.1,14135
3.581073760986328,outgoing,172.18.0.3,172.17.0.1,66
3.5818569660186768,outgoing,172.18.0.3,172.17.0.1,66
3.58333325386047,outgoing,172.18.0.3,172.17.0.1,66
3.842900514602661,incoming,172.18.0.1,172.18.0.2,2359
3.8457272052764893,incoming,172.18.0.8,172.18.0.2,66
3.8464207649230957,outgoing,172.18.0.3,172.17.0.1,74
3.84787917137146,outgoing,172.18.0.3,172.17.0.1,66
3.848629951477051,outgoing,172.18.0.3,172.17.0.1,290
3.8514916896820033,outgoing,172.18.0.3,172.17.0.1,7306
