elapsed_time,direction,sender,receiver,length
0.0,incoming,172.18.0.1,172.18.0.2,66
0.5152502059936523,incoming,172.18.0.1,172.18.0.2,2219
0.5280189514160156,incoming,172.18.0.8,172.18.0.2,66
0.5296444892883301,outgoing,172.18.0.3,172.17.0.1,74
0.531970739364624,outgoing,172.18.0.3,172.17.0.1,66
0.532899856567381,outgoing,172.18.0.3,172.17.0.1,290
0.5358340740203857,outgoing,172.18.0.3,172.17.0.1,7306
0.5386362075805664,outgoing,172.18.0.3,172.17.0.1,7306
0.5429806709289533,outgoing,172.18.0.3,172.17.0.1,14546
0.5465686321258545,outgoing,172.18.0.3,172.17.0.1,14546
0.5485727787017822,outgoing,172.18.0.3,172.17.0.1,2962
0.690009355545044,outgoing,172.18.0.3,172.17.0.1,14415
0.7722465991973877,outgoing,172.18.0.3,172.17.0.1,66
0.7759575843811035,outgoing,172.18.0.3,172.17.0.1,66
0.7815513610839862,outgoing,172.18.0.3,172.17.0.1,66
1.5391113758087158,incoming,172.18.0.1,172.18.0.2,2207
1.542495250701906,incoming,172.18.0.8,172.18.0.2,66
1.5432035923004133,outgoing,172.18.0.3,172.17.0.1,74
1.5446918010711652,outgoing,172.18.0.3,172.17.0.1,66
1.545423984527588,outgoing,172.18.0.3,172.17.0.1,290
1.5483074188232422,outgoing,172.18.0.3,172.17.0.1,7306
1.5512495040893555,outgoing,172.18.0.3,172.17.0.1,7306
1.5557103157043457,outgoing,172.18.0.3,172.17.0.1,14546
1.5600843429565412,outgoing,172.18.0.3,172.17.0.1,14546
1.5613412857055664,outgoing,172.18.0.3,172.17.0.1,2962
1.6825611591339111,outgoing,172.18.0.3,172.17.0.1,14170
1.7895269393920898,outgoing,172.18.0.3,172.17.0.1,66
1.790786266326906,outgoing,172.18.0.3,172.17.0.1,66
1.7939574718475342,outgoing,172.18.0.3,172.17.0.1,66
2.04482412338257,incoming,172.18.0.1,172.18.0.2,2379
2.0477497577667236,incoming,172.18.0.8,172.18.0.2,66
2.3036372661590576,outgoing,172.18.0.3,172.17.0.1,74
2.307748317718506,outgoing,172.18.0.3,172.17.0.1,66
2.3084821701049822,outgoing,172.18.0.3,172.17.0.1,290
2.3114962577819824,outgoing,172.18.0.3,172.17.0.1,7306
2.3146662712097186,outgoing,172.18.0.3,172.17.0.1,7306
2.3211984634399414,outgoing,172.18.0.3,172.17.0.1,14546
2.3254246711730957,outgoing,172.18.0.3,172.17.0.1,14546
2.3274528980255145,outgoing,172.18.0.3,172.17.0.1,2962
2.452963352203369,outgoing,172.18.0.3,172.17.0.1,13823
2.564258098602293,outgoing,172.18.0.3,172.17.0.1,66
2.5680124759674072,outgoing,172.18.0.3,172.17.0.1,66
2.5733261108398438,outgoing,172.18.0.3,172.17.0.1,66
2.8191344738006574,incoming,172.18.0.1,172.18.0.2,2331
2.8222057819366455,incoming,172.18.0.8,172.18.0.2,66
2.8229312896728516,incoming,172.18.0.8,172.18.0.2,68
2.8243513107299822,incoming,172.18.0.8,172.18.0.2,66
2.8250515460968018,outgoing,172.18.0.3,172.17.0.1,74
2.8264758586883545,outgoing,172.18.0.3,172.17.0.1,66
2.827171087265013,outgoing,172.18.0.3,172.17.0.1,290
2.8299450874328613,outgoing,172.18.0.3,172.17.0.1,7306
2.832801818847658,outgoing,172.18.0.3,172.17.0.1,7306
2.8370437622070312,outgoing,172.18.0.3,172.17.0.1,14546
2.8405699729919434,outgoing,172.18.0.3,172.17.0.1,14546
2.8433425426483154,outgoing,172.18.0.3,172.17.0.1,2962
2.9662106037139893,outgoing,172.18.0.3,172.17.0.1,13726
3.076206207275389,outgoing,172.18.0.3,172.17.0.1,66
3.0799412727355957,outgoing,172.18.0.3,172.17.0.1,66
3.085469961166382,outgoing,172.18.0.3,172.17.0.1,66
3.331270933151245,incoming,172.18.0.1,172.18.0.2,2359
3.3340911865234375,incoming,172.18.0.8,172.18.0.2,66
3.334775924682617,outgoing,172.18.0.3,172.17.0.1,74
3.336207151412964,outgoing,172.18.0.3,172.17.0.1,66
3.33693790435791,outgoing,172.18.0.3,172.17.0.1,290
3.339808940887451,outgoing,172.18.0.3,172.17.0.1,7306
3.342681884765625,outgoing,172.18.0.3,172.17.0.1,7306
3.3472466468811035,outgoing,172.18.0.3,172.17.0.1,14546
3.3516557216644305,outgoing,172.18.0.3,172.17.0.1,14546
3.3536858558654785,outgoing,172.18.0.3,172.17.0.1,2962
3.4700272083282453,outgoing,172.18.0.3,172.17.0.1,13653
3.586930513381958,outgoing,172.18.0.3,172.17.0.1,66
3.587641954421997,outgoing,172.18.0.3,172.17.0.1,66
3.58903431892395,outgoing,172.18.0.3,172.17.0.1,66
4.0933878421783465,incoming,172.18.0.1,172.18.0.2,2343
4.096744775772093,incoming,172.18.0.8,172.18.0.2,66
4.351568222045898,outgoing,172.18.0.3,172.17.0.1,74
4.355319976806642,outgoing,172.18.0.3,172.17.0.1,66
4.356049537658691,outgoing,172.18.0.3,172.17.0.1,290
4.359066009521486,outgoing,172.18.0.3,172.17.0.1,7306
4.3620412349700945,outgoing,172.18.0.3,172.17.0.1,7306
4.366542100906372,outgoing,172.18.0.3,172.17.0.1,14546
4.371099472045898,outgoing,172.18.0.3,172.17.0.1,14546
4.373153924942018,outgoing,172.18.0.3,172.17.0.1,2962
4.4921839237213135,outgoing,172.18.0.3,172.17.0.1,13778
4.604971408843994,outgoing,172.18.0.3,172.17.0.1,66
4.605714321136473,outgoing,172.18.0.3,172.17.0.1,66
4.60719633102417,outgoing,172.18.0.3,172.17.0.1,66
4.866072416305542,incoming,172.18.0.1,172.18.0.2,2199
4.868855237960815,incoming,172.18.0.8,172.18.0.2,66
4.869564771652222,outgoing,172.18.0.3,172.17.0.1,74
4.870992183685301,outgoing,172.18.0.3,172.17.0.1,66
4.871704578399658,outgoing,172.18.0.3,172.17.0.1,290
4.874618291854858,outgoing,172.18.0.3,172.17.0.1,7306
4.877425193786621,outgoing,172.18.0.3,172.17.0.1,7306
4.88171648979187,outgoing,172.18.0.3,172.17.0.1,14546
4.885937690734863,outgoing,172.18.0.3,172.17.0.1,14546
4.887977123260498,outgoing,172.18.0.3,172.17.0.1,2962
5.013103008270264,outgoing,172.18.0.3,172.17.0.1,14118
5.117783308029173,outgoing,172.18.0.3,172.17.0.1,66
5.118729114532469,outgoing,172.18.0.3,172.17.0.1,66
5.120360136032106,outgoing,172.18.0.3,172.17.0.1,66
5.372491836547852,incoming,172.18.0.1,172.18.0.2,2135
5.375237226486206,incoming,172.18.0.8,172.18.0.2,66
5.631610870361328,outgoing,172.18.0.3,172.17.0.1,74
5.6356360912323,outgoing,172.18.0.3,172.17.0.1,66
5.636341094970701,outgoing,172.18.0.3,172.17.0.1,290
5.639146327972412,outgoing,172.18.0.3,172.17.0.1,7306
5.641947269439697,outgoing,172.18.0.3,172.17.0.1,7306
5.646198272705078,outgoing,172.18.0.3,172.17.0.1,14546
5.650498390197754,outgoing,172.18.0.3,172.17.0.1,14546
5.652639627456665,outgoing,172.18.0.3,172.17.0.1,2962
5.771896600723267,outgoing,172.18.0.3,172.17.0.1,14379
5.774843215942381,outgoing,172.18.0.3,172.17.0.1,66
5.77557897567749,outgoing,172.18.0.3,172.17.0.1,66
5.776954174041748,outgoing,172.18.0.3,172.17.0.1,66
6.402936697006226,incoming,172.18.0.1,172.18.0.2,2239
6.414157867431642,incoming,172.18.0.8,172.18.0.2,66
6.415755987167358,outgoing,172.18.0.3,172.17.0.1,74
