sensor_name,inference_layer,inference_latency,registered_at
ESP32_AABBCC,InferenceLayer.CLOUD,398957,2024-08-30 00:41:00.059866
ESP32_09B38F,InferenceLayer.CLOUD,420348,2024-08-30 00:41:00.491116
ESP32_232714,InferenceLayer.CLOUD,427187,2024-08-30 00:41:00.890157
ESP32_B57936,InferenceLayer.CLOUD,425164,2024-08-30 00:41:01.288283
ESP32_8F7400,InferenceLayer.CLOUD,425437,2024-08-30 00:41:01.693305
ESP32_3330A5,InferenceLayer.CLOUD,420278,2024-08-30 00:41:02.087327
ESP32_ED5A4D,InferenceLayer.CLOUD,418395,2024-08-30 00:41:02.492757
ESP32_46B1A6,InferenceLayer.CLOUD,423086,2024-08-30 00:41:02.891325
ESP32_46978A,InferenceLayer.CLOUD,426328,2024-08-30 00:41:03.291798
ESP32_97C286,InferenceLayer.CLOUD,423448,2024-08-30 00:41:03.689738
ESP32_B25FE3,InferenceLayer.CLOUD,423533,2024-08-30 00:41:04.109879
ESP32_1F4D55,InferenceLayer.CLOUD,403776,2024-08-30 00:41:04.495139
ESP32_ADD36D,InferenceLayer.CLOUD,428974,2024-08-30 00:41:04.896815
ESP32_F0ACBF,InferenceLayer.CLOUD,419038,2024-08-30 00:41:05.292600
ESP32_AB192B,InferenceLayer.CLOUD,414407,2024-08-30 00:41:05.708454
ESP32_A1BC36,InferenceLayer.CLOUD,428244,2024-08-30 00:41:06.102216
ESP32_C31F5E,InferenceLayer.CLOUD,424917,2024-08-30 00:41:06.498749
ESP32_E2F3EA,InferenceLayer.CLOUD,409297,2024-08-30 00:41:06.901075
ESP32_2E88CE,InferenceLayer.CLOUD,424486,2024-08-30 00:41:07.302692
ESP32_615B9D,InferenceLayer.CLOUD,425212,2024-08-30 00:41:07.680274
ESP32_AABBCC,InferenceLayer.CLOUD,568172,2024-08-30 00:41:30.090459
ESP32_09B38F,InferenceLayer.CLOUD,524221,2024-08-30 00:41:30.431488
ESP32_232714,InferenceLayer.CLOUD,523808,2024-08-30 00:41:30.844841
ESP32_B57936,InferenceLayer.CLOUD,524351,2024-08-30 00:41:31.257366
ESP32_8F7400,InferenceLayer.CLOUD,525505,2024-08-30 00:41:31.653975
ESP32_3330A5,InferenceLayer.CLOUD,556340,2024-08-30 00:41:32.079721
ESP32_ED5A4D,InferenceLayer.CLOUD,530533,2024-08-30 00:41:32.424650
ESP32_46B1A6,InferenceLayer.CLOUD,526893,2024-08-30 00:41:32.857225
ESP32_46978A,InferenceLayer.CLOUD,528312,2024-08-30 00:41:33.261187
ESP32_97C286,InferenceLayer.CLOUD,520541,2024-08-30 00:41:33.660991
ESP32_B25FE3,InferenceLayer.CLOUD,526784,2024-08-30 00:41:34.051456
ESP32_1F4D55,InferenceLayer.CLOUD,521358,2024-08-30 00:41:34.449174
ESP32_ADD36D,InferenceLayer.CLOUD,519890,2024-08-30 00:41:34.849371
ESP32_F0ACBF,InferenceLayer.CLOUD,498836,2024-08-30 00:41:35.237388
ESP32_AB192B,InferenceLayer.CLOUD,521509,2024-08-30 00:41:35.656761
ESP32_A1BC36,InferenceLayer.CLOUD,510060,2024-08-30 00:41:36.056933
ESP32_C31F5E,InferenceLayer.CLOUD,521819,2024-08-30 00:41:36.459478
ESP32_E2F3EA,InferenceLayer.CLOUD,513101,2024-08-30 00:41:36.845577
ESP32_2E88CE,InferenceLayer.CLOUD,513274,2024-08-30 00:41:37.243925
ESP32_615B9D,InferenceLayer.CLOUD,480193,2024-08-30 00:41:37.603233
ESP32_AABBCC,InferenceLayer.CLOUD,584879,2024-08-30 00:41:59.985399
ESP32_09B38F,InferenceLayer.CLOUD,516955,2024-08-30 00:42:00.339028
ESP32_232714,InferenceLayer.CLOUD,337478,2024-08-30 00:42:00.518148
ESP32_B57936,InferenceLayer.CLOUD,511023,2024-08-30 00:42:01.121266
ESP32_8F7400,InferenceLayer.CLOUD,517924,2024-08-30 00:42:01.526513
ESP32_3330A5,InferenceLayer.CLOUD,516557,2024-08-30 00:42:01.922548
ESP32_ED5A4D,InferenceLayer.CLOUD,494560,2024-08-30 00:42:02.308869
ESP32_46B1A6,InferenceLayer.CLOUD,525117,2024-08-30 00:42:02.738574
ESP32_46978A,InferenceLayer.CLOUD,525328,2024-08-30 00:42:03.147648
ESP32_97C286,InferenceLayer.CLOUD,527632,2024-08-30 00:42:03.525947
ESP32_B25FE3,InferenceLayer.CLOUD,542731,2024-08-30 00:42:03.951660
ESP32_1F4D55,InferenceLayer.CLOUD,527430,2024-08-30 00:42:04.307448
ESP32_ADD36D,InferenceLayer.CLOUD,522636,2024-08-30 00:42:04.732721
ESP32_F0ACBF,InferenceLayer.CLOUD,521770,2024-08-30 00:42:05.136972
ESP32_AB192B,InferenceLayer.CLOUD,524535,2024-08-30 00:42:05.519106
ESP32_A1BC36,InferenceLayer.CLOUD,495397,2024-08-30 00:42:05.905955
ESP32_C31F5E,InferenceLayer.CLOUD,479582,2024-08-30 00:42:06.291560
ESP32_E2F3EA,InferenceLayer.CLOUD,483766,2024-08-30 00:42:06.698497
ESP32_2E88CE,InferenceLayer.CLOUD,499128,2024-08-30 00:42:07.097674
ESP32_615B9D,InferenceLayer.CLOUD,493371,2024-08-30 00:42:07.495618
ESP32_AABBCC,InferenceLayer.CLOUD,610278,2024-08-30 00:42:29.883962
ESP32_09B38F,InferenceLayer.CLOUD,525858,2024-08-30 00:42:30.240517
ESP32_232714,InferenceLayer.CLOUD,532926,2024-08-30 00:42:30.620988
ESP32_B57936,InferenceLayer.CLOUD,521944,2024-08-30 00:42:31.002308
ESP32_8F7400,InferenceLayer.CLOUD,520971,2024-08-30 00:42:31.407504
ESP32_3330A5,InferenceLayer.CLOUD,492074,2024-08-30 00:42:31.782676
ESP32_ED5A4D,InferenceLayer.CLOUD,478122,2024-08-30 00:42:32.155173
ESP32_46B1A6,InferenceLayer.CLOUD,474906,2024-08-30 00:42:32.563305
ESP32_46978A,InferenceLayer.CLOUD,491573,2024-08-30 00:42:32.988771
ESP32_97C286,InferenceLayer.CLOUD,480049,2024-08-30 00:42:33.363134
ESP32_B25FE3,InferenceLayer.CLOUD,482836,2024-08-30 00:42:33.758724
ESP32_1F4D55,InferenceLayer.CLOUD,481165,2024-08-30 00:42:34.169772
ESP32_ADD36D,InferenceLayer.CLOUD,471159,2024-08-30 00:42:34.554766
ESP32_F0ACBF,InferenceLayer.CLOUD,469259,2024-08-30 00:42:34.955818
ESP32_AB192B,InferenceLayer.CLOUD,487733,2024-08-30 00:42:35.384943
ESP32_A1BC36,InferenceLayer.CLOUD,498834,2024-08-30 00:42:35.790647
ESP32_C31F5E,InferenceLayer.CLOUD,522996,2024-08-30 00:42:36.219658
ESP32_E2F3EA,InferenceLayer.CLOUD,514099,2024-08-30 00:42:36.607740
ESP32_2E88CE,InferenceLayer.CLOUD,480846,2024-08-30 00:42:36.973024
ESP32_615B9D,InferenceLayer.CLOUD,473594,2024-08-30 00:42:37.345477
ESP32_AABBCC,InferenceLayer.CLOUD,536103,2024-08-30 00:42:59.705309
ESP32_B57936,InferenceLayer.CLOUD,375054,2024-08-30 00:43:00.722646
ESP32_A1BC36,InferenceLayer.CLOUD,477482,2024-08-30 00:43:05.651333
ESP32_AABBCC,InferenceLayer.CLOUD,534289,2024-08-30 00:43:29.546030
ESP32_232714,InferenceLayer.CLOUD,480135,2024-08-30 00:43:30.316812
ESP32_97C286,InferenceLayer.CLOUD,531917,2024-08-30 00:43:33.177665
ESP32_1F4D55,InferenceLayer.CLOUD,523153,2024-08-30 00:43:33.981748
ESP32_AABBCC,InferenceLayer.CLOUD,358278,2024-08-30 00:43:59.236844
ESP32_8F7400,InferenceLayer.CLOUD,480825,2024-08-30 00:44:00.977111
ESP32_09B38F,InferenceLayer.CLOUD,616984,2024-08-30 00:43:00.191679
ESP32_8F7400,InferenceLayer.CLOUD,418593,2024-08-30 00:43:01.195193
ESP32_ED5A4D,InferenceLayer.CLOUD,416354,2024-08-30 00:43:01.999639
ESP32_46978A,InferenceLayer.CLOUD,452031,2024-08-30 00:43:02.824448
ESP32_B57936,InferenceLayer.CLOUD,475941,2024-08-30 00:43:30.692185
ESP32_46B1A6,InferenceLayer.CLOUD,528005,2024-08-30 00:43:32.394990
ESP32_B25FE3,InferenceLayer.CLOUD,521886,2024-08-30 00:43:33.568215
ESP32_ADD36D,InferenceLayer.CLOUD,522872,2024-08-30 00:43:34.378576
ESP32_AB192B,InferenceLayer.CLOUD,534541,2024-08-30 00:43:35.195339
ESP32_615B9D,InferenceLayer.CLOUD,447127,2024-08-30 00:43:37.088165
