sensor_name,inference_layer,inference_latency,registered_at
ESP32_AABBCC,InferenceLayer.CLOUD,553748,2024-08-30 00:14:30.131807
ESP32_3330A5,InferenceLayer.CLOUD,482566,2024-08-30 00:14:32.063417
ESP32_B25FE3,InferenceLayer.CLOUD,498286,2024-08-30 00:14:34.085442
ESP32_B57936,InferenceLayer.CLOUD,534203,2024-08-30 00:14:49.652979
ESP32_46B1A6,InferenceLayer.CLOUD,527206,2024-08-30 00:14:51.294495
ESP32_AB192B,InferenceLayer.CLOUD,526765,2024-08-30 00:14:54.071350
ESP32_AB192B,InferenceLayer.CLOUD,441016,2024-08-30 00:15:12.351762
ESP32_09B38F,InferenceLayer.CLOUD,537328,2024-08-30 00:15:25.609492
ESP32_B57936,InferenceLayer.CLOUD,476789,2024-08-30 00:15:26.355925
ESP32_ED5A4D,InferenceLayer.CLOUD,499661,2024-08-30 00:15:27.572359
ESP32_46978A,InferenceLayer.CLOUD,495748,2024-08-30 00:15:28.354227
ESP32_F0ACBF,InferenceLayer.CLOUD,518724,2024-08-30 00:15:30.398581
ESP32_AABBCC,InferenceLayer.CLOUD,501381,2024-08-30 00:15:43.532196
ESP32_B57936,InferenceLayer.CLOUD,516756,2024-08-30 00:15:44.744111
ESP32_B25FE3,InferenceLayer.CLOUD,447302,2024-08-30 00:15:47.473528
ESP32_B57936,InferenceLayer.CLOUD,393047,2024-08-30 00:16:02.975042
ESP32_46978A,InferenceLayer.CLOUD,375257,2024-08-30 00:16:04.955703
ESP32_F0ACBF,InferenceLayer.CLOUD,477430,2024-08-30 00:16:07.061669
ESP32_232714,InferenceLayer.CLOUD,521318,2024-08-30 00:16:21.086692
ESP32_ADD36D,InferenceLayer.CLOUD,488582,2024-08-30 00:16:25.046191
ESP32_232714,InferenceLayer.CLOUD,527057,2024-08-30 00:16:39.440290
ESP32_B25FE3,InferenceLayer.CLOUD,523535,2024-08-30 00:16:42.653299
ESP32_F0ACBF,InferenceLayer.CLOUD,512656,2024-08-30 00:16:43.830022
ESP32_AABBCC,InferenceLayer.CLOUD,542802,2024-08-30 00:16:56.996602
ESP32_97C286,InferenceLayer.CLOUD,455976,2024-08-30 00:17:00.536673
ESP32_1F4D55,InferenceLayer.CLOUD,423405,2024-08-30 00:17:01.313895
ESP32_09B38F,InferenceLayer.CLOUD,459414,2024-08-30 00:17:15.677423
ESP32_ED5A4D,InferenceLayer.CLOUD,400643,2024-08-30 00:17:17.637019
ESP32_1F4D55,InferenceLayer.CLOUD,488244,2024-08-30 00:17:38.093346
ESP32_AB192B,InferenceLayer.CLOUD,517184,2024-08-30 00:17:39.315210
ESP32_09B38F,InferenceLayer.CLOUD,492571,2024-08-30 00:17:52.460088
ESP32_B57936,InferenceLayer.CLOUD,520071,2024-08-30 00:17:53.291308
ESP32_AB192B,InferenceLayer.CLOUD,464829,2024-08-30 00:17:57.624619
ESP32_09B38F,InferenceLayer.CLOUD,530884,2024-08-30 00:18:10.853635
ESP32_B25FE3,InferenceLayer.CLOUD,530026,2024-08-30 00:18:14.460146
ESP32_ADD36D,InferenceLayer.CLOUD,519659,2024-08-30 00:18:15.225958
ESP32_AABBCC,InferenceLayer.CLOUD,535442,2024-08-30 00:18:28.800753
ESP32_AABBCC,InferenceLayer.CLOUD,515200,2024-08-30 00:18:47.160467
ESP32_232714,InferenceLayer.CLOUD,493300,2024-08-30 00:18:47.939069
ESP32_3330A5,InferenceLayer.CLOUD,522086,2024-08-30 00:18:49.173204
ESP32_09B38F,InferenceLayer.CLOUD,525459,2024-08-30 00:19:05.936166
ESP32_B57936,InferenceLayer.CLOUD,497071,2024-08-30 00:19:06.707548
ESP32_1F4D55,InferenceLayer.CLOUD,516020,2024-08-30 00:19:09.935558
ESP32_F0ACBF,InferenceLayer.CLOUD,514781,2024-08-30 00:19:10.742837
ESP32_B57936,InferenceLayer.CLOUD,447333,2024-08-30 00:19:25.028128
ESP32_1F4D55,InferenceLayer.CLOUD,417607,2024-08-30 00:19:28.209216
ESP32_3330A5,InferenceLayer.CLOUD,423835,2024-08-30 00:19:44.174504
ESP32_B25FE3,InferenceLayer.CLOUD,417497,2024-08-30 00:19:46.174948
ESP32_ADD36D,InferenceLayer.CLOUD,425236,2024-08-30 00:19:46.984697
ESP32_AABBCC,InferenceLayer.CLOUD,578568,2024-08-30 00:20:00.671818
ESP32_ADD36D,InferenceLayer.CLOUD,480813,2024-08-30 00:20:05.384655
ESP32_3330A5,InferenceLayer.CLOUD,512765,2024-08-30 00:20:20.971401
ESP32_B25FE3,InferenceLayer.CLOUD,527557,2024-08-30 00:20:22.991797
ESP32_F0ACBF,InferenceLayer.CLOUD,521671,2024-08-30 00:20:24.164662
ESP32_AABBCC,InferenceLayer.CLOUD,531303,2024-08-30 00:20:37.325221
ESP32_232714,InferenceLayer.CLOUD,464153,2024-08-30 00:20:38.071838
ESP32_46B1A6,InferenceLayer.CLOUD,462694,2024-08-30 00:20:40.062721
ESP32_1F4D55,InferenceLayer.CLOUD,540220,2024-08-30 00:20:41.740100
ESP32_232714,InferenceLayer.CLOUD,311484,2024-08-30 00:20:56.256682
ESP32_8F7400,InferenceLayer.CLOUD,416531,2024-08-30 00:21:15.565909
ESP32_AABBCC,InferenceLayer.CLOUD,528726,2024-08-30 00:13:53.389042
ESP32_09B38F,InferenceLayer.CLOUD,521046,2024-08-30 00:13:53.746824
ESP32_232714,InferenceLayer.CLOUD,524191,2024-08-30 00:13:54.179176
ESP32_B57936,InferenceLayer.CLOUD,536227,2024-08-30 00:13:54.592668
ESP32_8F7400,InferenceLayer.CLOUD,491586,2024-08-30 00:13:54.946730
ESP32_3330A5,InferenceLayer.CLOUD,469917,2024-08-30 00:13:55.317788
ESP32_ED5A4D,InferenceLayer.CLOUD,482730,2024-08-30 00:13:55.735626
ESP32_46B1A6,InferenceLayer.CLOUD,481078,2024-08-30 00:13:56.141558
ESP32_46978A,InferenceLayer.CLOUD,496708,2024-08-30 00:13:56.547096
ESP32_97C286,InferenceLayer.CLOUD,472427,2024-08-30 00:13:56.934390
ESP32_B25FE3,InferenceLayer.CLOUD,480963,2024-08-30 00:13:57.342067
ESP32_1F4D55,InferenceLayer.CLOUD,485228,2024-08-30 00:13:57.732816
ESP32_ADD36D,InferenceLayer.CLOUD,472568,2024-08-30 00:13:58.130121
ESP32_F0ACBF,InferenceLayer.CLOUD,467337,2024-08-30 00:13:58.516649
ESP32_AB192B,InferenceLayer.CLOUD,439349,2024-08-30 00:13:58.891274
ESP32_AABBCC,InferenceLayer.CLOUD,589874,2024-08-30 00:14:11.806610
ESP32_09B38F,InferenceLayer.CLOUD,526339,2024-08-30 00:14:12.145206
ESP32_232714,InferenceLayer.CLOUD,317455,2024-08-30 00:14:12.310710
ESP32_B57936,InferenceLayer.CLOUD,384421,2024-08-30 00:14:12.797733
ESP32_8F7400,InferenceLayer.CLOUD,538816,2024-08-30 00:14:13.359477
ESP32_3330A5,InferenceLayer.CLOUD,525085,2024-08-30 00:14:13.715235
ESP32_ED5A4D,InferenceLayer.CLOUD,525570,2024-08-30 00:14:14.143580
ESP32_46978A,InferenceLayer.CLOUD,483367,2024-08-30 00:14:14.914920
ESP32_09B38F,InferenceLayer.CLOUD,528968,2024-08-30 00:14:30.512438
ESP32_B57936,InferenceLayer.CLOUD,523961,2024-08-30 00:14:31.316564
ESP32_1F4D55,InferenceLayer.CLOUD,522508,2024-08-30 00:14:34.513570
ESP32_8F7400,InferenceLayer.CLOUD,528066,2024-08-30 00:14:50.083935
ESP32_46978A,InferenceLayer.CLOUD,527863,2024-08-30 00:14:51.683278
ESP32_ADD36D,InferenceLayer.CLOUD,522927,2024-08-30 00:14:53.274974
ESP32_B25FE3,InferenceLayer.CLOUD,421057,2024-08-30 00:15:10.745567
ESP32_ADD36D,InferenceLayer.CLOUD,466769,2024-08-30 00:15:11.579605
ESP32_232714,InferenceLayer.CLOUD,512873,2024-08-30 00:15:25.988057
ESP32_3330A5,InferenceLayer.CLOUD,524016,2024-08-30 00:15:27.196817
ESP32_AB192B,InferenceLayer.CLOUD,490996,2024-08-30 00:15:30.753831
ESP32_8F7400,InferenceLayer.CLOUD,478504,2024-08-30 00:15:45.110328
ESP32_ED5A4D,InferenceLayer.CLOUD,488690,2024-08-30 00:15:45.907802
ESP32_97C286,InferenceLayer.CLOUD,494612,2024-08-30 00:15:47.112518
ESP32_AB192B,InferenceLayer.CLOUD,432421,2024-08-30 00:15:49.057415
ESP32_232714,InferenceLayer.CLOUD,310814,2024-08-30 00:16:02.474771
ESP32_B57936,InferenceLayer.CLOUD,526675,2024-08-30 00:16:21.497388
ESP32_3330A5,InferenceLayer.CLOUD,523012,2024-08-30 00:16:22.279442
ESP32_46B1A6,InferenceLayer.CLOUD,521396,2024-08-30 00:16:23.074780
ESP32_97C286,InferenceLayer.CLOUD,522350,2024-08-30 00:16:42.248192
ESP32_ADD36D,InferenceLayer.CLOUD,514765,2024-08-30 00:16:43.438961
ESP32_232714,InferenceLayer.CLOUD,401542,2024-08-30 00:16:57.711679
ESP32_8F7400,InferenceLayer.CLOUD,418819,2024-08-30 00:16:58.520690
ESP32_ED5A4D,InferenceLayer.CLOUD,430116,2024-08-30 00:16:59.316837
ESP32_46B1A6,InferenceLayer.CLOUD,529891,2024-08-30 00:17:18.164478
ESP32_97C286,InferenceLayer.CLOUD,530131,2024-08-30 00:17:18.976600
ESP32_ADD36D,InferenceLayer.CLOUD,521940,2024-08-30 00:17:20.482245
ESP32_232714,InferenceLayer.CLOUD,527165,2024-08-30 00:17:34.526958
ESP32_ED5A4D,InferenceLayer.CLOUD,510659,2024-08-30 00:17:36.084040
ESP32_97C286,InferenceLayer.CLOUD,523540,2024-08-30 00:17:37.308625
ESP32_F0ACBF,InferenceLayer.CLOUD,522964,2024-08-30 00:17:38.948358
ESP32_AABBCC,InferenceLayer.CLOUD,573699,2024-08-30 00:18:10.496458
ESP32_46B1A6,InferenceLayer.CLOUD,521829,2024-08-30 00:18:13.255585
ESP32_09B38F,InferenceLayer.CLOUD,526342,2024-08-30 00:18:29.214101
ESP32_1F4D55,InferenceLayer.CLOUD,528101,2024-08-30 00:18:33.228016
ESP32_8F7400,InferenceLayer.CLOUD,490455,2024-08-30 00:18:48.750616
ESP32_ED5A4D,InferenceLayer.CLOUD,520864,2024-08-30 00:18:49.576461
ESP32_1F4D55,InferenceLayer.CLOUD,562708,2024-08-30 00:18:51.621994
ESP32_AB192B,InferenceLayer.CLOUD,480261,2024-08-30 00:18:52.710687
ESP32_8F7400,InferenceLayer.CLOUD,484691,2024-08-30 00:19:07.083305
ESP32_ED5A4D,InferenceLayer.CLOUD,487169,2024-08-30 00:19:07.898889
ESP32_46B1A6,InferenceLayer.CLOUD,421927,2024-08-30 00:19:26.606660
ESP32_97C286,InferenceLayer.CLOUD,415456,2024-08-30 00:19:27.420592
ESP32_8F7400,InferenceLayer.CLOUD,419542,2024-08-30 00:19:43.763665
ESP32_97C286,InferenceLayer.CLOUD,427473,2024-08-30 00:19:45.781349
ESP32_1F4D55,InferenceLayer.CLOUD,413851,2024-08-30 00:19:46.579081
ESP32_46978A,InferenceLayer.CLOUD,493529,2024-08-30 00:20:03.804576
ESP32_B25FE3,InferenceLayer.CLOUD,524139,2024-08-30 00:20:04.631825
ESP32_F0ACBF,InferenceLayer.CLOUD,489345,2024-08-30 00:20:05.777696
ESP32_AABBCC,InferenceLayer.CLOUD,562075,2024-08-30 00:20:19.014011
ESP32_232714,InferenceLayer.CLOUD,528556,2024-08-30 00:20:19.783039
ESP32_ED5A4D,InferenceLayer.CLOUD,475629,2024-08-30 00:20:21.326296
ESP32_46978A,InferenceLayer.CLOUD,394823,2024-08-30 00:20:22.041348
ESP32_ADD36D,InferenceLayer.CLOUD,521824,2024-08-30 00:20:23.779542
ESP32_46978A,InferenceLayer.CLOUD,458169,2024-08-30 00:20:40.872097
ESP32_AB192B,InferenceLayer.CLOUD,422375,2024-08-30 00:20:42.820319
ESP32_8F7400,InferenceLayer.CLOUD,522483,2024-08-30 00:20:57.289621
ESP32_ED5A4D,InferenceLayer.CLOUD,474715,2024-08-30 00:20:58.048689
ESP32_F0ACBF,InferenceLayer.CLOUD,524738,2024-08-30 00:21:00.900459
ESP32_ED5A4D,InferenceLayer.CLOUD,451574,2024-08-30 00:21:16.377886
ESP32_1F4D55,InferenceLayer.CLOUD,409440,2024-08-30 00:21:18.370746
ESP32_ADD36D,InferenceLayer.CLOUD,417993,2024-08-30 00:21:18.776632
ESP32_09B38F,InferenceLayer.CLOUD,527576,2024-08-30 00:21:32.822226
ESP32_B57936,InferenceLayer.CLOUD,499623,2024-08-30 00:21:33.594015
ESP32_ED5A4D,InferenceLayer.CLOUD,531470,2024-08-30 00:21:34.833598
ESP32_46B1A6,InferenceLayer.CLOUD,492821,2024-08-30 00:21:35.193007
ESP32_97C286,InferenceLayer.CLOUD,479266,2024-08-30 00:21:35.965734
ESP32_1F4D55,InferenceLayer.CLOUD,466399,2024-08-30 00:21:36.774852
ESP32_AB192B,InferenceLayer.CLOUD,440609,2024-08-30 00:21:37.931242
ESP32_09B38F,InferenceLayer.CLOUD,529099,2024-08-30 00:21:51.195870
ESP32_232714,InferenceLayer.CLOUD,522306,2024-08-30 00:21:51.592660
ESP32_B57936,InferenceLayer.CLOUD,522312,2024-08-30 00:21:51.962942
ESP32_3330A5,InferenceLayer.CLOUD,530422,2024-08-30 00:21:52.789611
ESP32_46978A,InferenceLayer.CLOUD,523826,2024-08-30 00:21:53.997977
ESP32_97C286,InferenceLayer.CLOUD,531568,2024-08-30 00:21:54.414156
ESP32_1F4D55,InferenceLayer.CLOUD,494601,2024-08-30 00:21:55.170024
ESP32_ADD36D,InferenceLayer.CLOUD,496834,2024-08-30 00:21:55.559356
ESP32_F0ACBF,InferenceLayer.CLOUD,489510,2024-08-30 00:21:55.968161
ESP32_AB192B,InferenceLayer.CLOUD,437236,2024-08-30 00:21:56.297202
ESP32_46B1A6,InferenceLayer.CLOUD,526599,2024-08-30 00:14:14.551290
ESP32_97C286,InferenceLayer.CLOUD,465601,2024-08-30 00:14:15.300665
ESP32_1F4D55,InferenceLayer.CLOUD,491359,2024-08-30 00:14:16.117176
ESP32_F0ACBF,InferenceLayer.CLOUD,509134,2024-08-30 00:14:16.932401
ESP32_232714,InferenceLayer.CLOUD,521265,2024-08-30 00:14:30.902759
ESP32_46B1A6,InferenceLayer.CLOUD,479677,2024-08-30 00:14:32.852974
ESP32_97C286,InferenceLayer.CLOUD,482543,2024-08-30 00:14:33.664866
ESP32_ADD36D,InferenceLayer.CLOUD,487078,2024-08-30 00:14:34.876080
ESP32_ED5A4D,InferenceLayer.CLOUD,532412,2024-08-30 00:14:50.853136
ESP32_1F4D55,InferenceLayer.CLOUD,524675,2024-08-30 00:14:52.875475
ESP32_AABBCC,InferenceLayer.CLOUD,467304,2024-08-30 00:15:06.768879
ESP32_1F4D55,InferenceLayer.CLOUD,494098,2024-08-30 00:15:29.574282
ESP32_09B38F,InferenceLayer.CLOUD,486301,2024-08-30 00:15:43.925566
ESP32_46978A,InferenceLayer.CLOUD,486991,2024-08-30 00:15:46.719953
ESP32_1F4D55,InferenceLayer.CLOUD,422867,2024-08-30 00:15:47.863105
ESP32_F0ACBF,InferenceLayer.CLOUD,430052,2024-08-30 00:15:48.684198
ESP32_AB192B,InferenceLayer.CLOUD,442182,2024-08-30 00:16:07.420255
ESP32_8F7400,InferenceLayer.CLOUD,530114,2024-08-30 00:16:21.892444
ESP32_97C286,InferenceLayer.CLOUD,522988,2024-08-30 00:16:23.898376
ESP32_1F4D55,InferenceLayer.CLOUD,537656,2024-08-30 00:16:24.694291
ESP32_AABBCC,InferenceLayer.CLOUD,541337,2024-08-30 00:16:38.652691
ESP32_ED5A4D,InferenceLayer.CLOUD,511343,2024-08-30 00:16:41.039528
ESP32_1F4D55,InferenceLayer.CLOUD,521958,2024-08-30 00:16:43.041275
ESP32_09B38F,InferenceLayer.CLOUD,412101,2024-08-30 00:16:57.311364
ESP32_B57936,InferenceLayer.CLOUD,419847,2024-08-30 00:16:58.115504
ESP32_3330A5,InferenceLayer.CLOUD,452459,2024-08-30 00:16:58.931944
ESP32_46978A,InferenceLayer.CLOUD,412675,2024-08-30 00:17:00.131599
ESP32_AABBCC,InferenceLayer.CLOUD,457835,2024-08-30 00:17:15.282692
ESP32_232714,InferenceLayer.CLOUD,452182,2024-08-30 00:17:16.074751
ESP32_46978A,InferenceLayer.CLOUD,525823,2024-08-30 00:17:18.563334
ESP32_1F4D55,InferenceLayer.CLOUD,524701,2024-08-30 00:17:19.764235
ESP32_09B38F,InferenceLayer.CLOUD,529681,2024-08-30 00:17:34.135084
ESP32_B57936,InferenceLayer.CLOUD,527644,2024-08-30 00:17:34.898153
ESP32_3330A5,InferenceLayer.CLOUD,524219,2024-08-30 00:17:35.725724
ESP32_AABBCC,InferenceLayer.CLOUD,524879,2024-08-30 00:17:52.082109
ESP32_232714,InferenceLayer.CLOUD,529809,2024-08-30 00:17:52.893658
ESP32_1F4D55,InferenceLayer.CLOUD,493897,2024-08-30 00:17:56.466506
ESP32_ADD36D,InferenceLayer.CLOUD,520962,2024-08-30 00:17:56.898347
ESP32_232714,InferenceLayer.CLOUD,521771,2024-08-30 00:18:11.257288
ESP32_97C286,InferenceLayer.CLOUD,521535,2024-08-30 00:18:14.046634
ESP32_F0ACBF,InferenceLayer.CLOUD,496603,2024-08-30 00:18:15.631953
ESP32_232714,InferenceLayer.CLOUD,524766,2024-08-30 00:18:29.612829
ESP32_8F7400,InferenceLayer.CLOUD,518392,2024-08-30 00:18:30.408263
ESP32_ED5A4D,InferenceLayer.CLOUD,516506,2024-08-30 00:18:31.214457
ESP32_97C286,InferenceLayer.CLOUD,392740,2024-08-30 00:18:32.291549
ESP32_ADD36D,InferenceLayer.CLOUD,529062,2024-08-30 00:18:33.600370
ESP32_AB192B,InferenceLayer.CLOUD,509987,2024-08-30 00:18:34.403171
ESP32_09B38F,InferenceLayer.CLOUD,496475,2024-08-30 00:18:47.534781
ESP32_46978A,InferenceLayer.CLOUD,480119,2024-08-30 00:18:50.327968
ESP32_B25FE3,InferenceLayer.CLOUD,483128,2024-08-30 00:18:51.137978
ESP32_ADD36D,InferenceLayer.CLOUD,525930,2024-08-30 00:18:51.978114
ESP32_232714,InferenceLayer.CLOUD,500876,2024-08-30 00:19:06.289715
ESP32_3330A5,InferenceLayer.CLOUD,489309,2024-08-30 00:19:07.489167
ESP32_46B1A6,InferenceLayer.CLOUD,492627,2024-08-30 00:19:08.304689
ESP32_97C286,InferenceLayer.CLOUD,523362,2024-08-30 00:19:09.150421
ESP32_3330A5,InferenceLayer.CLOUD,462839,2024-08-30 00:19:25.831048
ESP32_ED5A4D,InferenceLayer.CLOUD,426989,2024-08-30 00:19:26.210016
ESP32_46978A,InferenceLayer.CLOUD,413783,2024-08-30 00:19:27.004666
ESP32_B25FE3,InferenceLayer.CLOUD,428882,2024-08-30 00:19:27.818612
ESP32_F0ACBF,InferenceLayer.CLOUD,550461,2024-08-30 00:19:29.137438
ESP32_ED5A4D,InferenceLayer.CLOUD,424012,2024-08-30 00:19:44.571869
ESP32_46978A,InferenceLayer.CLOUD,416727,2024-08-30 00:19:45.380628
ESP32_F0ACBF,InferenceLayer.CLOUD,421929,2024-08-30 00:19:47.383074
ESP32_ED5A4D,InferenceLayer.CLOUD,519462,2024-08-30 00:20:03.017608
ESP32_1F4D55,InferenceLayer.CLOUD,474989,2024-08-30 00:20:04.983103
ESP32_09B38F,InferenceLayer.CLOUD,534746,2024-08-30 00:20:19.380554
ESP32_46B1A6,InferenceLayer.CLOUD,355939,2024-08-30 00:20:21.588396
ESP32_97C286,InferenceLayer.CLOUD,543486,2024-08-30 00:20:22.600339
ESP32_1F4D55,InferenceLayer.CLOUD,524307,2024-08-30 00:20:23.386114
ESP32_09B38F,InferenceLayer.CLOUD,485987,2024-08-30 00:20:37.695220
ESP32_8F7400,InferenceLayer.CLOUD,463023,2024-08-30 00:20:38.838983
ESP32_97C286,InferenceLayer.CLOUD,958731,2024-08-30 00:20:41.426507
ESP32_ADD36D,InferenceLayer.CLOUD,318054,2024-08-30 00:20:41.910010
ESP32_09B38F,InferenceLayer.CLOUD,526275,2024-08-30 00:20:56.077515
ESP32_B57936,InferenceLayer.CLOUD,524239,2024-08-30 00:20:56.900523
ESP32_3330A5,InferenceLayer.CLOUD,462705,2024-08-30 00:20:57.639268
ESP32_46B1A6,InferenceLayer.CLOUD,491833,2024-08-30 00:20:58.456779
ESP32_97C286,InferenceLayer.CLOUD,482447,2024-08-30 00:20:59.262507
ESP32_ADD36D,InferenceLayer.CLOUD,522751,2024-08-30 00:21:00.510465
ESP32_AABBCC,InferenceLayer.CLOUD,560183,2024-08-30 00:21:14.089327
ESP32_232714,InferenceLayer.CLOUD,468468,2024-08-30 00:21:14.799677
ESP32_B25FE3,InferenceLayer.CLOUD,482915,2024-08-30 00:14:15.695038
ESP32_AB192B,InferenceLayer.CLOUD,300965,2024-08-30 00:14:17.104744
ESP32_8F7400,InferenceLayer.CLOUD,500317,2024-08-30 00:14:31.680469
ESP32_ED5A4D,InferenceLayer.CLOUD,490901,2024-08-30 00:14:32.463608
ESP32_AB192B,InferenceLayer.CLOUD,451759,2024-08-30 00:14:35.628181
ESP32_09B38F,InferenceLayer.CLOUD,528536,2024-08-30 00:14:48.888479
ESP32_B25FE3,InferenceLayer.CLOUD,520162,2024-08-30 00:14:52.443572
ESP32_232714,InferenceLayer.CLOUD,403737,2024-08-30 00:15:07.544203
ESP32_8F7400,InferenceLayer.CLOUD,414669,2024-08-30 00:15:08.341952
ESP32_ED5A4D,InferenceLayer.CLOUD,451169,2024-08-30 00:15:09.167063
ESP32_46978A,InferenceLayer.CLOUD,455532,2024-08-30 00:15:09.966067
ESP32_1F4D55,InferenceLayer.CLOUD,416022,2024-08-30 00:15:11.145962
ESP32_F0ACBF,InferenceLayer.CLOUD,467906,2024-08-30 00:15:11.977403
ESP32_3330A5,InferenceLayer.CLOUD,493839,2024-08-30 00:15:45.508133
ESP32_AABBCC,InferenceLayer.CLOUD,595969,2024-08-30 00:16:01.981332
ESP32_3330A5,InferenceLayer.CLOUD,525978,2024-08-30 00:16:03.916646
ESP32_46B1A6,InferenceLayer.CLOUD,422758,2024-08-30 00:16:04.618154
ESP32_B25FE3,InferenceLayer.CLOUD,391291,2024-08-30 00:16:05.783017
ESP32_ADD36D,InferenceLayer.CLOUD,486833,2024-08-30 00:16:06.695192
ESP32_AABBCC,InferenceLayer.CLOUD,567492,2024-08-30 00:16:20.317092
ESP32_ED5A4D,InferenceLayer.CLOUD,531603,2024-08-30 00:16:22.684563
ESP32_8F7400,InferenceLayer.CLOUD,516571,2024-08-30 00:16:40.232057
ESP32_46B1A6,InferenceLayer.CLOUD,519688,2024-08-30 00:16:41.440760
ESP32_AB192B,InferenceLayer.CLOUD,503571,2024-08-30 00:16:44.219275
ESP32_46B1A6,InferenceLayer.CLOUD,420928,2024-08-30 00:16:59.710820
ESP32_AB192B,InferenceLayer.CLOUD,466786,2024-08-30 00:17:02.536205
ESP32_8F7400,InferenceLayer.CLOUD,425333,2024-08-30 00:17:16.866948
ESP32_AB192B,InferenceLayer.CLOUD,492706,2024-08-30 00:17:20.971722
ESP32_46B1A6,InferenceLayer.CLOUD,495749,2024-08-30 00:17:36.521936
ESP32_ADD36D,InferenceLayer.CLOUD,498756,2024-08-30 00:17:38.492564
ESP32_8F7400,InferenceLayer.CLOUD,514587,2024-08-30 00:17:53.649710
ESP32_ED5A4D,InferenceLayer.CLOUD,527629,2024-08-30 00:17:54.488090
ESP32_46978A,InferenceLayer.CLOUD,522512,2024-08-30 00:17:55.286997
ESP32_B25FE3,InferenceLayer.CLOUD,487605,2024-08-30 00:17:56.062892
ESP32_B57936,InferenceLayer.CLOUD,525060,2024-08-30 00:18:11.623433
ESP32_3330A5,InferenceLayer.CLOUD,519202,2024-08-30 00:18:12.452843
ESP32_1F4D55,InferenceLayer.CLOUD,524711,2024-08-30 00:18:14.857145
ESP32_B57936,InferenceLayer.CLOUD,527039,2024-08-30 00:18:29.991730
ESP32_3330A5,InferenceLayer.CLOUD,499285,2024-08-30 00:18:30.787853
ESP32_46B1A6,InferenceLayer.CLOUD,586323,2024-08-30 00:18:31.655588
ESP32_B25FE3,InferenceLayer.CLOUD,401250,2024-08-30 00:18:32.692637
ESP32_97C286,InferenceLayer.CLOUD,484535,2024-08-30 00:18:50.726671
ESP32_F0ACBF,InferenceLayer.CLOUD,517754,2024-08-30 00:18:52.375145
ESP32_AABBCC,InferenceLayer.CLOUD,572982,2024-08-30 00:19:05.588170
ESP32_46978A,InferenceLayer.CLOUD,495987,2024-08-30 00:19:08.728936
ESP32_B25FE3,InferenceLayer.CLOUD,522181,2024-08-30 00:19:09.513975
ESP32_ADD36D,InferenceLayer.CLOUD,518838,2024-08-30 00:19:10.336957
ESP32_AB192B,InferenceLayer.CLOUD,481416,2024-08-30 00:19:11.093948
ESP32_09B38F,InferenceLayer.CLOUD,522320,2024-08-30 00:19:24.300718
ESP32_8F7400,InferenceLayer.CLOUD,455885,2024-08-30 00:19:25.428333
ESP32_ADD36D,InferenceLayer.CLOUD,409752,2024-08-30 00:19:28.616068
ESP32_AB192B,InferenceLayer.CLOUD,516854,2024-08-30 00:19:29.493826
ESP32_B57936,InferenceLayer.CLOUD,401311,2024-08-30 00:19:43.365038
ESP32_AB192B,InferenceLayer.CLOUD,417914,2024-08-30 00:19:47.751037
ESP32_09B38F,InferenceLayer.CLOUD,523755,2024-08-30 00:20:01.026398
ESP32_B57936,InferenceLayer.CLOUD,496277,2024-08-30 00:20:01.795643
ESP32_3330A5,InferenceLayer.CLOUD,517166,2024-08-30 00:20:02.620218
ESP32_B57936,InferenceLayer.CLOUD,524849,2024-08-30 00:20:20.175815
ESP32_AB192B,InferenceLayer.CLOUD,501279,2024-08-30 00:20:24.542273
ESP32_B57936,InferenceLayer.CLOUD,468569,2024-08-30 00:20:38.469235
ESP32_AABBCC,InferenceLayer.CLOUD,603559,2024-08-30 00:20:55.770317
ESP32_1F4D55,InferenceLayer.CLOUD,491021,2024-08-30 00:21:00.073727
ESP32_B57936,InferenceLayer.CLOUD,421025,2024-08-30 00:21:15.163431
ESP32_3330A5,InferenceLayer.CLOUD,419455,2024-08-30 00:21:15.968588
ESP32_46B1A6,InferenceLayer.CLOUD,408901,2024-08-30 00:21:16.778901
ESP32_46978A,InferenceLayer.CLOUD,453842,2024-08-30 00:21:17.184026
ESP32_97C286,InferenceLayer.CLOUD,420431,2024-08-30 00:21:17.569251
ESP32_B25FE3,InferenceLayer.CLOUD,420413,2024-08-30 00:21:17.964157
ESP32_AB192B,InferenceLayer.CLOUD,417059,2024-08-30 00:21:19.558937
ESP32_232714,InferenceLayer.CLOUD,521400,2024-08-30 00:21:33.218690
ESP32_8F7400,InferenceLayer.CLOUD,523478,2024-08-30 00:21:34.023456
ESP32_3330A5,InferenceLayer.CLOUD,528287,2024-08-30 00:21:34.406658
ESP32_46978A,InferenceLayer.CLOUD,469844,2024-08-30 00:21:35.578440
ESP32_B25FE3,InferenceLayer.CLOUD,474513,2024-08-30 00:21:36.366734
ESP32_ADD36D,InferenceLayer.CLOUD,467595,2024-08-30 00:21:37.168242
